recprob,subject,encpos,list_type,item,oddvctrl
0.5,4,7,emotional,oddball,oddball
0.333333333333333,5,7,emotional,oddball,oddball
0.8,6,7,emotional,oddball,oddball
0.444444444444444,7,7,emotional,oddball,oddball
0.75,9,7,emotional,oddball,oddball
0.8,10,7,emotional,oddball,oddball
0.5,11,7,emotional,oddball,oddball
0.5,12,7,emotional,oddball,oddball
0.75,14,7,emotional,oddball,oddball
0.857142857142857,15,7,emotional,oddball,oddball
0.625,16,7,emotional,oddball,oddball
0.571428571428571,17,7,emotional,oddball,oddball
1,18,7,emotional,oddball,oddball
0.6,19,7,emotional,oddball,oddball
0.625,20,7,emotional,oddball,oddball
0.6,21,7,emotional,oddball,oddball
0.833333333333333,22,7,emotional,oddball,oddball
0.454545454545455,23,7,emotional,oddball,oddball
0.375,24,7,emotional,oddball,oddball
0.375,25,7,emotional,oddball,oddball
0.6,26,7,emotional,oddball,oddball
0.5,27,7,emotional,oddball,oddball
0.857142857142857,28,7,emotional,oddball,oddball
0.833333333333333,29,7,emotional,oddball,oddball
0.555555555555556,30,7,emotional,oddball,oddball
0.75,31,7,emotional,oddball,oddball
0.571428571428571,32,7,emotional,oddball,oddball
0.833333333333333,33,7,emotional,oddball,oddball
1,34,7,emotional,oddball,oddball
1,35,7,emotional,oddball,oddball
0.714285714285714,36,7,emotional,oddball,oddball
1,37,7,emotional,oddball,oddball
0.5,38,7,emotional,oddball,oddball
0.666666666666667,39,7,emotional,oddball,oddball
0.6,40,7,emotional,oddball,oddball
0.714285714285714,41,7,emotional,oddball,oddball
0.333333333333333,42,7,emotional,oddball,oddball
0.5,43,7,emotional,oddball,oddball
0.6,44,7,emotional,oddball,oddball
0.75,45,7,emotional,oddball,oddball
0.5,46,7,emotional,oddball,oddball
0.7,47,7,emotional,oddball,oddball
0.333333333333333,48,7,emotional,oddball,oddball
0.666666666666667,49,7,emotional,oddball,oddball
0.75,50,7,emotional,oddball,oddball
1,51,7,emotional,oddball,oddball
1,52,7,emotional,oddball,oddball
0.571428571428571,53,7,emotional,oddball,oddball
0.875,54,7,emotional,oddball,oddball
0.333333333333333,55,7,emotional,oddball,oddball
0.428571428571429,56,7,emotional,oddball,oddball
0.375,57,7,emotional,oddball,oddball
0.6,58,7,emotional,oddball,oddball
0.4,59,7,emotional,oddball,oddball
0.714285714285714,60,7,emotional,oddball,oddball
0.4,61,7,emotional,oddball,oddball
0.666666666666667,62,7,emotional,oddball,oddball
0.5,63,7,emotional,oddball,oddball
0.571428571428571,64,7,emotional,oddball,oddball
0.555555555555556,65,7,emotional,oddball,oddball
0.666666666666667,66,7,emotional,oddball,oddball
1,67,7,emotional,oddball,oddball
0.6,68,7,emotional,oddball,oddball
0.9,69,7,emotional,oddball,oddball
0.625,70,7,emotional,oddball,oddball
0.5,71,7,emotional,oddball,oddball
0.4,72,7,emotional,oddball,oddball
0.5,73,7,emotional,oddball,oddball
0.333333333333333,74,7,emotional,oddball,oddball
0.666666666666667,75,7,emotional,oddball,oddball
0.5,4,7,emotional,oddballm2,oddball
0.166666666666667,5,7,emotional,oddballm2,oddball
0.4,6,7,emotional,oddballm2,oddball
0.444444444444444,7,7,emotional,oddballm2,oddball
0.25,9,7,emotional,oddballm2,oddball
0.6,10,7,emotional,oddballm2,oddball
0.625,11,7,emotional,oddballm2,oddball
0,12,7,emotional,oddballm2,oddball
0.25,14,7,emotional,oddballm2,oddball
0.285714285714286,15,7,emotional,oddballm2,oddball
0.125,16,7,emotional,oddballm2,oddball
0.285714285714286,17,7,emotional,oddballm2,oddball
0.5,18,7,emotional,oddballm2,oddball
0.4,19,7,emotional,oddballm2,oddball
0.75,20,7,emotional,oddballm2,oddball
0.2,21,7,emotional,oddballm2,oddball
0.5,22,7,emotional,oddballm2,oddball
0.272727272727273,23,7,emotional,oddballm2,oddball
0.5,24,7,emotional,oddballm2,oddball
0.625,25,7,emotional,oddballm2,oddball
0,26,7,emotional,oddballm2,oddball
0.5,27,7,emotional,oddballm2,oddball
0.428571428571429,28,7,emotional,oddballm2,oddball
0.166666666666667,29,7,emotional,oddballm2,oddball
0.333333333333333,30,7,emotional,oddballm2,oddball
0.625,31,7,emotional,oddballm2,oddball
0.571428571428571,32,7,emotional,oddballm2,oddball
0.333333333333333,33,7,emotional,oddballm2,oddball
0.333333333333333,34,7,emotional,oddballm2,oddball
1,35,7,emotional,oddballm2,oddball
0.285714285714286,36,7,emotional,oddballm2,oddball
0.75,37,7,emotional,oddballm2,oddball
0.375,38,7,emotional,oddballm2,oddball
1,39,7,emotional,oddballm2,oddball
1,40,7,emotional,oddballm2,oddball
0.428571428571429,41,7,emotional,oddballm2,oddball
0.333333333333333,42,7,emotional,oddballm2,oddball
1,43,7,emotional,oddballm2,oddball
0.6,44,7,emotional,oddballm2,oddball
0.75,45,7,emotional,oddballm2,oddball
0.5,46,7,emotional,oddballm2,oddball
0.5,47,7,emotional,oddballm2,oddball
0.166666666666667,48,7,emotional,oddballm2,oddball
0.555555555555556,49,7,emotional,oddballm2,oddball
1,50,7,emotional,oddballm2,oddball
0.6,51,7,emotional,oddballm2,oddball
0.5,52,7,emotional,oddballm2,oddball
0.571428571428571,53,7,emotional,oddballm2,oddball
0.75,54,7,emotional,oddballm2,oddball
0.333333333333333,55,7,emotional,oddballm2,oddball
0.571428571428571,56,7,emotional,oddballm2,oddball
0.375,57,7,emotional,oddballm2,oddball
0,58,7,emotional,oddballm2,oddball
0,59,7,emotional,oddballm2,oddball
0.285714285714286,60,7,emotional,oddballm2,oddball
0.8,61,7,emotional,oddballm2,oddball
0.5,62,7,emotional,oddballm2,oddball
0.375,63,7,emotional,oddballm2,oddball
0.714285714285714,64,7,emotional,oddballm2,oddball
0.666666666666667,65,7,emotional,oddballm2,oddball
0,66,7,emotional,oddballm2,oddball
0.666666666666667,67,7,emotional,oddballm2,oddball
0.4,68,7,emotional,oddballm2,oddball
0.7,69,7,emotional,oddballm2,oddball
0.25,70,7,emotional,oddballm2,oddball
0.125,71,7,emotional,oddballm2,oddball
0.2,72,7,emotional,oddballm2,oddball
0.625,73,7,emotional,oddballm2,oddball
0.333333333333333,74,7,emotional,oddballm2,oddball
0.666666666666667,75,7,emotional,oddballm2,oddball
0.25,4,7,emotional,oddballm1,oddball
0.166666666666667,5,7,emotional,oddballm1,oddball
0.6,6,7,emotional,oddballm1,oddball
0.555555555555556,7,7,emotional,oddballm1,oddball
0.625,9,7,emotional,oddballm1,oddball
0.2,10,7,emotional,oddballm1,oddball
0.25,11,7,emotional,oddballm1,oddball
1,12,7,emotional,oddballm1,oddball
0.5,14,7,emotional,oddballm1,oddball
0.428571428571429,15,7,emotional,oddballm1,oddball
0.375,16,7,emotional,oddballm1,oddball
0.285714285714286,17,7,emotional,oddballm1,oddball
0.75,18,7,emotional,oddballm1,oddball
0.2,19,7,emotional,oddballm1,oddball
0.5,20,7,emotional,oddballm1,oddball
0.4,21,7,emotional,oddballm1,oddball
0.5,22,7,emotional,oddballm1,oddball
0.272727272727273,23,7,emotional,oddballm1,oddball
0.375,24,7,emotional,oddballm1,oddball
0.375,25,7,emotional,oddballm1,oddball
0,26,7,emotional,oddballm1,oddball
0.166666666666667,27,7,emotional,oddballm1,oddball
0.285714285714286,28,7,emotional,oddballm1,oddball
0.333333333333333,29,7,emotional,oddballm1,oddball
0.111111111111111,30,7,emotional,oddballm1,oddball
0.375,31,7,emotional,oddballm1,oddball
0.428571428571429,32,7,emotional,oddballm1,oddball
0.5,33,7,emotional,oddballm1,oddball
0.666666666666667,34,7,emotional,oddballm1,oddball
0.833333333333333,35,7,emotional,oddballm1,oddball
0.571428571428571,36,7,emotional,oddballm1,oddball
0.75,37,7,emotional,oddballm1,oddball
0.25,38,7,emotional,oddballm1,oddball
0.666666666666667,39,7,emotional,oddballm1,oddball
0.8,40,7,emotional,oddballm1,oddball
0.714285714285714,41,7,emotional,oddballm1,oddball
0,42,7,emotional,oddballm1,oddball
0.5,43,7,emotional,oddballm1,oddball
0.4,44,7,emotional,oddballm1,oddball
0.25,45,7,emotional,oddballm1,oddball
0,46,7,emotional,oddballm1,oddball
0.6,47,7,emotional,oddballm1,oddball
0,48,7,emotional,oddballm1,oddball
0.555555555555556,49,7,emotional,oddballm1,oddball
0.75,50,7,emotional,oddballm1,oddball
0.6,51,7,emotional,oddballm1,oddball
0.5,52,7,emotional,oddballm1,oddball
0.571428571428571,53,7,emotional,oddballm1,oddball
0.625,54,7,emotional,oddballm1,oddball
0.166666666666667,55,7,emotional,oddballm1,oddball
0.714285714285714,56,7,emotional,oddballm1,oddball
0.25,57,7,emotional,oddballm1,oddball
0,58,7,emotional,oddballm1,oddball
0.6,59,7,emotional,oddballm1,oddball
0.142857142857143,60,7,emotional,oddballm1,oddball
0.4,61,7,emotional,oddballm1,oddball
0.5,62,7,emotional,oddballm1,oddball
0.375,63,7,emotional,oddballm1,oddball
0.714285714285714,64,7,emotional,oddballm1,oddball
0.555555555555556,65,7,emotional,oddballm1,oddball
0.333333333333333,66,7,emotional,oddballm1,oddball
0.333333333333333,67,7,emotional,oddballm1,oddball
0.4,68,7,emotional,oddballm1,oddball
0.8,69,7,emotional,oddballm1,oddball
0.25,70,7,emotional,oddballm1,oddball
0.25,71,7,emotional,oddballm1,oddball
0.4,72,7,emotional,oddballm1,oddball
0.375,73,7,emotional,oddballm1,oddball
0.333333333333333,74,7,emotional,oddballm1,oddball
0.5,75,7,emotional,oddballm1,oddball
0.75,4,7,emotional,oddballp1,oddball
0.5,5,7,emotional,oddballp1,oddball
0.2,6,7,emotional,oddballp1,oddball
0.666666666666667,7,7,emotional,oddballp1,oddball
0.625,9,7,emotional,oddballp1,oddball
0.6,10,7,emotional,oddballp1,oddball
0.875,11,7,emotional,oddballp1,oddball
0,12,7,emotional,oddballp1,oddball
0.5,14,7,emotional,oddballp1,oddball
0.714285714285714,15,7,emotional,oddballp1,oddball
0.375,16,7,emotional,oddballp1,oddball
0.571428571428571,17,7,emotional,oddballp1,oddball
0.75,18,7,emotional,oddballp1,oddball
0.5,19,7,emotional,oddballp1,oddball
0.375,20,7,emotional,oddballp1,oddball
0.4,21,7,emotional,oddballp1,oddball
0.333333333333333,22,7,emotional,oddballp1,oddball
0.181818181818182,23,7,emotional,oddballp1,oddball
0.375,24,7,emotional,oddballp1,oddball
0.5,25,7,emotional,oddballp1,oddball
0,26,7,emotional,oddballp1,oddball
0.833333333333333,27,7,emotional,oddballp1,oddball
0.571428571428571,28,7,emotional,oddballp1,oddball
0.333333333333333,29,7,emotional,oddballp1,oddball
0.111111111111111,30,7,emotional,oddballp1,oddball
0.375,31,7,emotional,oddballp1,oddball
0.428571428571429,32,7,emotional,oddballp1,oddball
0.166666666666667,33,7,emotional,oddballp1,oddball
0.833333333333333,34,7,emotional,oddballp1,oddball
0.5,35,7,emotional,oddballp1,oddball
0.571428571428571,36,7,emotional,oddballp1,oddball
0.5,37,7,emotional,oddballp1,oddball
0.375,38,7,emotional,oddballp1,oddball
0.333333333333333,39,7,emotional,oddballp1,oddball
0,40,7,emotional,oddballp1,oddball
0.571428571428571,41,7,emotional,oddballp1,oddball
0.666666666666667,42,7,emotional,oddballp1,oddball
0,43,7,emotional,oddballp1,oddball
0.8,44,7,emotional,oddballp1,oddball
0.375,45,7,emotional,oddballp1,oddball
0.5,46,7,emotional,oddballp1,oddball
0.1,47,7,emotional,oddballp1,oddball
0.5,48,7,emotional,oddballp1,oddball
0.333333333333333,49,7,emotional,oddballp1,oddball
0.25,50,7,emotional,oddballp1,oddball
0.8,51,7,emotional,oddballp1,oddball
0,52,7,emotional,oddballp1,oddball
0.571428571428571,53,7,emotional,oddballp1,oddball
0.625,54,7,emotional,oddballp1,oddball
0.5,55,7,emotional,oddballp1,oddball
0.428571428571429,56,7,emotional,oddballp1,oddball
0,57,7,emotional,oddballp1,oddball
0.8,58,7,emotional,oddballp1,oddball
0.4,59,7,emotional,oddballp1,oddball
0.285714285714286,60,7,emotional,oddballp1,oddball
0.3,61,7,emotional,oddballp1,oddball
0.166666666666667,62,7,emotional,oddballp1,oddball
0.625,63,7,emotional,oddballp1,oddball
0.714285714285714,64,7,emotional,oddballp1,oddball
0.444444444444444,65,7,emotional,oddballp1,oddball
0.333333333333333,66,7,emotional,oddballp1,oddball
0.5,67,7,emotional,oddballp1,oddball
0,68,7,emotional,oddballp1,oddball
0.5,69,7,emotional,oddballp1,oddball
0.25,70,7,emotional,oddballp1,oddball
0.25,71,7,emotional,oddballp1,oddball
0.4,72,7,emotional,oddballp1,oddball
0.25,73,7,emotional,oddballp1,oddball
0.666666666666667,74,7,emotional,oddballp1,oddball
0.166666666666667,75,7,emotional,oddballp1,oddball
0,4,7,emotional,control,control
0.4,5,7,emotional,control,control
0.5,6,7,emotional,control,control
0.5,7,7,emotional,control,control
0.75,9,7,emotional,control,control
0.25,10,7,emotional,control,control
0.625,11,7,emotional,control,control
0.8,12,7,emotional,control,control
0.6,14,7,emotional,control,control
0.75,15,7,emotional,control,control
0.25,16,7,emotional,control,control
0.5,17,7,emotional,control,control
0.666666666666667,18,7,emotional,control,control
0,19,7,emotional,control,control
0.166666666666667,20,7,emotional,control,control
0.4,21,7,emotional,control,control
0.5,22,7,emotional,control,control
0.333333333333333,23,7,emotional,control,control
0.25,24,7,emotional,control,control
0.6,25,7,emotional,control,control
0,26,7,emotional,control,control
0.428571428571429,27,7,emotional,control,control
0.2,28,7,emotional,control,control
0.222222222222222,29,7,emotional,control,control
1,30,7,emotional,control,control
0.5,31,7,emotional,control,control
0.4,32,7,emotional,control,control
0.666666666666667,33,7,emotional,control,control
0.75,34,7,emotional,control,control
1,35,7,emotional,control,control
0.8,36,7,emotional,control,control
0.333333333333333,37,7,emotional,control,control
0,38,7,emotional,control,control
0.75,39,7,emotional,control,control
0.4,40,7,emotional,control,control
0.8,41,7,emotional,control,control
0.4,42,7,emotional,control,control
0.5,43,7,emotional,control,control
0.5,44,7,emotional,control,control
0,45,7,emotional,control,control
0.25,46,7,emotional,control,control
0.333333333333333,47,7,emotional,control,control
0.125,48,7,emotional,control,control
0.5,49,7,emotional,control,control
0.625,50,7,emotional,control,control
1,51,7,emotional,control,control
0.571428571428571,52,7,emotional,control,control
0.285714285714286,53,7,emotional,control,control
0.5,54,7,emotional,control,control
0.428571428571429,55,7,emotional,control,control
0.25,56,7,emotional,control,control
0.2,57,7,emotional,control,control
0.111111111111111,58,7,emotional,control,control
0.333333333333333,59,7,emotional,control,control
0,60,7,emotional,control,control
0,61,7,emotional,control,control
0.285714285714286,62,7,emotional,control,control
0.6,63,7,emotional,control,control
0.5,64,7,emotional,control,control
0,65,7,emotional,control,control
0.6,66,7,emotional,control,control
0.571428571428571,67,7,emotional,control,control
0.666666666666667,68,7,emotional,control,control
0.142857142857143,69,7,emotional,control,control
0.25,70,7,emotional,control,control
0,71,7,emotional,control,control
0.2,72,7,emotional,control,control
1,73,7,emotional,control,control
0.25,74,7,emotional,control,control
0.666666666666667,75,7,emotional,control,control
0,4,7,emotional,controlm2,control
0.8,5,7,emotional,controlm2,control
0.25,6,7,emotional,controlm2,control
1,7,7,emotional,controlm2,control
0,9,7,emotional,controlm2,control
0.75,10,7,emotional,controlm2,control
0.625,11,7,emotional,controlm2,control
0.4,12,7,emotional,controlm2,control
0.8,14,7,emotional,controlm2,control
0.25,15,7,emotional,controlm2,control
0.75,16,7,emotional,controlm2,control
0.666666666666667,17,7,emotional,controlm2,control
0,18,7,emotional,controlm2,control
0,19,7,emotional,controlm2,control
0.5,20,7,emotional,controlm2,control
0.4,21,7,emotional,controlm2,control
0.5,22,7,emotional,controlm2,control
0.333333333333333,23,7,emotional,controlm2,control
0.375,24,7,emotional,controlm2,control
0.4,25,7,emotional,controlm2,control
0.333333333333333,26,7,emotional,controlm2,control
0.571428571428571,27,7,emotional,controlm2,control
0.4,28,7,emotional,controlm2,control
0.444444444444444,29,7,emotional,controlm2,control
0,30,7,emotional,controlm2,control
0.5,31,7,emotional,controlm2,control
0.6,32,7,emotional,controlm2,control
0.666666666666667,33,7,emotional,controlm2,control
0.5,34,7,emotional,controlm2,control
1,35,7,emotional,controlm2,control
0.6,36,7,emotional,controlm2,control
0.444444444444444,37,7,emotional,controlm2,control
0.333333333333333,38,7,emotional,controlm2,control
0.5,39,7,emotional,controlm2,control
0.6,40,7,emotional,controlm2,control
0.4,41,7,emotional,controlm2,control
0.4,42,7,emotional,controlm2,control
0.75,43,7,emotional,controlm2,control
0.5,44,7,emotional,controlm2,control
0,45,7,emotional,controlm2,control
0.5,46,7,emotional,controlm2,control
0.333333333333333,47,7,emotional,controlm2,control
0.625,48,7,emotional,controlm2,control
1,49,7,emotional,controlm2,control
0.625,50,7,emotional,controlm2,control
1,51,7,emotional,controlm2,control
0.571428571428571,52,7,emotional,controlm2,control
0.285714285714286,53,7,emotional,controlm2,control
1,54,7,emotional,controlm2,control
0.571428571428571,55,7,emotional,controlm2,control
0.25,56,7,emotional,controlm2,control
0.4,57,7,emotional,controlm2,control
0.222222222222222,58,7,emotional,controlm2,control
0.333333333333333,59,7,emotional,controlm2,control
0.4,60,7,emotional,controlm2,control
1,61,7,emotional,controlm2,control
0.285714285714286,62,7,emotional,controlm2,control
1,63,7,emotional,controlm2,control
0.25,64,7,emotional,controlm2,control
0,65,7,emotional,controlm2,control
0.4,66,7,emotional,controlm2,control
0.571428571428571,67,7,emotional,controlm2,control
0.333333333333333,68,7,emotional,controlm2,control
0.142857142857143,69,7,emotional,controlm2,control
0.25,70,7,emotional,controlm2,control
0.333333333333333,71,7,emotional,controlm2,control
0.8,72,7,emotional,controlm2,control
0.666666666666667,73,7,emotional,controlm2,control
0.25,74,7,emotional,controlm2,control
0.333333333333333,75,7,emotional,controlm2,control
0,4,7,emotional,controlm1,control
0.2,5,7,emotional,controlm1,control
0.75,6,7,emotional,controlm1,control
0.5,7,7,emotional,controlm1,control
0.25,9,7,emotional,controlm1,control
0.25,10,7,emotional,controlm1,control
0.625,11,7,emotional,controlm1,control
0.6,12,7,emotional,controlm1,control
0.4,14,7,emotional,controlm1,control
0.5,15,7,emotional,controlm1,control
0.75,16,7,emotional,controlm1,control
0.5,17,7,emotional,controlm1,control
0,18,7,emotional,controlm1,control
0,19,7,emotional,controlm1,control
0.5,20,7,emotional,controlm1,control
0.8,21,7,emotional,controlm1,control
1,22,7,emotional,controlm1,control
0.333333333333333,23,7,emotional,controlm1,control
0.25,24,7,emotional,controlm1,control
0.6,25,7,emotional,controlm1,control
0.333333333333333,26,7,emotional,controlm1,control
0.857142857142857,27,7,emotional,controlm1,control
0.4,28,7,emotional,controlm1,control
0.222222222222222,29,7,emotional,controlm1,control
0.75,30,7,emotional,controlm1,control
0,31,7,emotional,controlm1,control
0.4,32,7,emotional,controlm1,control
0.666666666666667,33,7,emotional,controlm1,control
0.5,34,7,emotional,controlm1,control
0,35,7,emotional,controlm1,control
0.4,36,7,emotional,controlm1,control
0.555555555555556,37,7,emotional,controlm1,control
0.666666666666667,38,7,emotional,controlm1,control
0.75,39,7,emotional,controlm1,control
1,40,7,emotional,controlm1,control
0.6,41,7,emotional,controlm1,control
0.8,42,7,emotional,controlm1,control
0.5,43,7,emotional,controlm1,control
0.75,44,7,emotional,controlm1,control
0,45,7,emotional,controlm1,control
0.375,46,7,emotional,controlm1,control
0.333333333333333,47,7,emotional,controlm1,control
0.5,48,7,emotional,controlm1,control
1,49,7,emotional,controlm1,control
0.5,50,7,emotional,controlm1,control
0.666666666666667,51,7,emotional,controlm1,control
0.285714285714286,52,7,emotional,controlm1,control
0.571428571428571,53,7,emotional,controlm1,control
0,54,7,emotional,controlm1,control
0.428571428571429,55,7,emotional,controlm1,control
0.5,56,7,emotional,controlm1,control
0.2,57,7,emotional,controlm1,control
0.333333333333333,58,7,emotional,controlm1,control
0.666666666666667,59,7,emotional,controlm1,control
0.2,60,7,emotional,controlm1,control
1,61,7,emotional,controlm1,control
0.428571428571429,62,7,emotional,controlm1,control
0.4,63,7,emotional,controlm1,control
0.5,64,7,emotional,controlm1,control
0,65,7,emotional,controlm1,control
0.2,66,7,emotional,controlm1,control
0.428571428571429,67,7,emotional,controlm1,control
0.333333333333333,68,7,emotional,controlm1,control
0.428571428571429,69,7,emotional,controlm1,control
0.25,70,7,emotional,controlm1,control
0.333333333333333,71,7,emotional,controlm1,control
0.8,72,7,emotional,controlm1,control
0,73,7,emotional,controlm1,control
0.25,74,7,emotional,controlm1,control
0.333333333333333,75,7,emotional,controlm1,control
0,4,7,emotional,controlp1,control
0.4,5,7,emotional,controlp1,control
0.5,6,7,emotional,controlp1,control
0.5,7,7,emotional,controlp1,control
0.25,9,7,emotional,controlp1,control
0.5,10,7,emotional,controlp1,control
0.5,11,7,emotional,controlp1,control
0.4,12,7,emotional,controlp1,control
0.6,14,7,emotional,controlp1,control
0.5,15,7,emotional,controlp1,control
0.25,16,7,emotional,controlp1,control
0,17,7,emotional,controlp1,control
0.333333333333333,18,7,emotional,controlp1,control
0,19,7,emotional,controlp1,control
0.166666666666667,20,7,emotional,controlp1,control
0.6,21,7,emotional,controlp1,control
0.5,22,7,emotional,controlp1,control
0.666666666666667,23,7,emotional,controlp1,control
0.375,24,7,emotional,controlp1,control
0,25,7,emotional,controlp1,control
0.666666666666667,26,7,emotional,controlp1,control
0.428571428571429,27,7,emotional,controlp1,control
0.4,28,7,emotional,controlp1,control
0.444444444444444,29,7,emotional,controlp1,control
0.25,30,7,emotional,controlp1,control
0,31,7,emotional,controlp1,control
0.2,32,7,emotional,controlp1,control
0.333333333333333,33,7,emotional,controlp1,control
0.5,34,7,emotional,controlp1,control
1,35,7,emotional,controlp1,control
0.6,36,7,emotional,controlp1,control
0.444444444444444,37,7,emotional,controlp1,control
0.666666666666667,38,7,emotional,controlp1,control
0.25,39,7,emotional,controlp1,control
0.4,40,7,emotional,controlp1,control
0.6,41,7,emotional,controlp1,control
0.2,42,7,emotional,controlp1,control
0.5,43,7,emotional,controlp1,control
0.5,44,7,emotional,controlp1,control
0,45,7,emotional,controlp1,control
0.75,46,7,emotional,controlp1,control
0.333333333333333,47,7,emotional,controlp1,control
0.375,48,7,emotional,controlp1,control
0.5,49,7,emotional,controlp1,control
0.625,50,7,emotional,controlp1,control
0.666666666666667,51,7,emotional,controlp1,control
0.142857142857143,52,7,emotional,controlp1,control
0.428571428571429,53,7,emotional,controlp1,control
0.5,54,7,emotional,controlp1,control
0.714285714285714,55,7,emotional,controlp1,control
0.5,56,7,emotional,controlp1,control
0.6,57,7,emotional,controlp1,control
0.222222222222222,58,7,emotional,controlp1,control
0.666666666666667,59,7,emotional,controlp1,control
0.2,60,7,emotional,controlp1,control
0,61,7,emotional,controlp1,control
1,62,7,emotional,controlp1,control
0.8,63,7,emotional,controlp1,control
0.75,64,7,emotional,controlp1,control
0,65,7,emotional,controlp1,control
0.4,66,7,emotional,controlp1,control
0.142857142857143,67,7,emotional,controlp1,control
0.666666666666667,68,7,emotional,controlp1,control
0.714285714285714,69,7,emotional,controlp1,control
0.25,70,7,emotional,controlp1,control
0.666666666666667,71,7,emotional,controlp1,control
0.6,72,7,emotional,controlp1,control
0.333333333333333,73,7,emotional,controlp1,control
0.125,74,7,emotional,controlp1,control
0.666666666666667,75,7,emotional,controlp1,control
0.714285714285714,4,7,perceptual,control,control
0,5,7,perceptual,control,control
0.5,6,7,perceptual,control,control
0.6,7,7,perceptual,control,control
1,9,7,perceptual,control,control
0.333333333333333,10,7,perceptual,control,control
0.333333333333333,11,7,perceptual,control,control
0.4,12,7,perceptual,control,control
0.5,15,7,perceptual,control,control
0.5,16,7,perceptual,control,control
0.285714285714286,17,7,perceptual,control,control
0.166666666666667,18,7,perceptual,control,control
0.8,19,7,perceptual,control,control
0.75,20,7,perceptual,control,control
0.8,21,7,perceptual,control,control
1,22,7,perceptual,control,control
0,23,7,perceptual,control,control
0.444444444444444,24,7,perceptual,control,control
0.4,25,7,perceptual,control,control
0.4,26,7,perceptual,control,control
0.333333333333333,28,7,perceptual,control,control
0.285714285714286,29,7,perceptual,control,control
0.666666666666667,30,7,perceptual,control,control
0,31,7,perceptual,control,control
0.5,32,7,perceptual,control,control
0.8,33,7,perceptual,control,control
0.5,34,7,perceptual,control,control
1,35,7,perceptual,control,control
0.5,36,7,perceptual,control,control
0,37,7,perceptual,control,control
0.5,38,7,perceptual,control,control
0,39,7,perceptual,control,control
0.333333333333333,40,7,perceptual,control,control
0.222222222222222,41,7,perceptual,control,control
0.6,42,7,perceptual,control,control
0.8,43,7,perceptual,control,control
0.2,44,7,perceptual,control,control
0.666666666666667,45,7,perceptual,control,control
0.6,46,7,perceptual,control,control
0.5,47,7,perceptual,control,control
0.833333333333333,49,7,perceptual,control,control
0.5,50,7,perceptual,control,control
0.6,51,7,perceptual,control,control
0.6,52,7,perceptual,control,control
0.666666666666667,53,7,perceptual,control,control
0.833333333333333,54,7,perceptual,control,control
0.75,55,7,perceptual,control,control
0.571428571428571,56,7,perceptual,control,control
0.2,57,7,perceptual,control,control
0.25,58,7,perceptual,control,control
0.166666666666667,60,7,perceptual,control,control
0.6,61,7,perceptual,control,control
0.444444444444444,62,7,perceptual,control,control
0.666666666666667,63,7,perceptual,control,control
0.5,64,7,perceptual,control,control
0.5,65,7,perceptual,control,control
0.25,66,7,perceptual,control,control
0.5,67,7,perceptual,control,control
0.666666666666667,68,7,perceptual,control,control
0.6,69,7,perceptual,control,control
0,70,7,perceptual,control,control
0.375,71,7,perceptual,control,control
0.75,72,7,perceptual,control,control
0.6,73,7,perceptual,control,control
0.25,74,7,perceptual,control,control
1,75,7,perceptual,control,control
0.285714285714286,4,7,perceptual,controlm2,control
0.5,5,7,perceptual,controlm2,control
0.5,6,7,perceptual,controlm2,control
0.6,7,7,perceptual,controlm2,control
0.333333333333333,9,7,perceptual,controlm2,control
0.666666666666667,10,7,perceptual,controlm2,control
0.666666666666667,11,7,perceptual,controlm2,control
0.4,12,7,perceptual,controlm2,control
0.5,15,7,perceptual,controlm2,control
0,16,7,perceptual,controlm2,control
0.428571428571429,17,7,perceptual,controlm2,control
0.5,18,7,perceptual,controlm2,control
0.4,19,7,perceptual,controlm2,control
0.5,20,7,perceptual,controlm2,control
0.6,21,7,perceptual,controlm2,control
0.5,22,7,perceptual,controlm2,control
0.333333333333333,23,7,perceptual,controlm2,control
0.444444444444444,24,7,perceptual,controlm2,control
0.4,25,7,perceptual,controlm2,control
0.4,26,7,perceptual,controlm2,control
0.333333333333333,28,7,perceptual,controlm2,control
0.571428571428571,29,7,perceptual,controlm2,control
0.666666666666667,30,7,perceptual,controlm2,control
0.25,31,7,perceptual,controlm2,control
0.25,32,7,perceptual,controlm2,control
0.4,33,7,perceptual,controlm2,control
1,34,7,perceptual,controlm2,control
0,35,7,perceptual,controlm2,control
0,36,7,perceptual,controlm2,control
0.666666666666667,37,7,perceptual,controlm2,control
0.5,38,7,perceptual,controlm2,control
0,39,7,perceptual,controlm2,control
0.666666666666667,40,7,perceptual,controlm2,control
0.666666666666667,41,7,perceptual,controlm2,control
0.6,42,7,perceptual,controlm2,control
0.6,43,7,perceptual,controlm2,control
0.6,44,7,perceptual,controlm2,control
0.333333333333333,45,7,perceptual,controlm2,control
0,46,7,perceptual,controlm2,control
0.5,47,7,perceptual,controlm2,control
0.666666666666667,49,7,perceptual,controlm2,control
0.5,50,7,perceptual,controlm2,control
1,51,7,perceptual,controlm2,control
0.4,52,7,perceptual,controlm2,control
1,53,7,perceptual,controlm2,control
0.5,54,7,perceptual,controlm2,control
0.5,55,7,perceptual,controlm2,control
0.714285714285714,56,7,perceptual,controlm2,control
0.2,57,7,perceptual,controlm2,control
0.25,58,7,perceptual,controlm2,control
